DateTime,AddedIPs,RemovedIPs
1548815298,0,1
1548825170,0,2
1548827067,1,0
1548833099,0,1
1548834983,0,2
1548839117,1,2
1548849166,0,1
1548853002,0,1
1548855155,1,2
1548857096,0,1
1548863059,2,0
1548872905,1,0
1548875106,0,1
1548877013,1,0
1548892963,0,1
1548897187,0,1
1548903145,1,0
1548905090,1,0
1548915147,0,1
1548923065,1,0
1548925008,0,1
1548926905,1,0
1548934608,1,0
1548936525,1,0
1548944221,1,0
1548946125,1,0
1548948036,0,1
1548951898,1,0
1548954139,1,0
1548960059,1,1
1548963874,1,1
1548969647,2,0
1548971560,1,0
1548977572,1,0
1548981394,1,0
1548989565,0,1
1548991520,1,1
1548997259,1,0
1549003290,1,0
1549009263,0,1
1549013096,0,1
1549018976,1,0
1549020784,1,1
1549022695,1,0
1549028440,1,0
1549030364,1,1
1549032297,1,1
1549034207,0,1
1549038038,2,1
1549039996,0,1
1549041898,7,0
1549043831,1,0
1549049590,0,2
1549055553,0,2
1549057505,0,1
1549065752,1,1
1549067557,0,1
1549077416,6,0
1549079600,0,1
1549083761,0,1
1549089428,0,1
1549103100,1,0
1549105345,1,1
1549107152,0,1
1549109128,0,1
1549113178,1,0
1549115069,0,1
1549116997,0,1
1549118938,1,1
1549124683,0,2
1549128768,1,8
1549142668,1,0
1549150857,1,1
1549154677,2,0
1549162385,0,6
1549164318,2,0
1549166185,1,0
1549179868,1,0
1549185650,1,0
1549189541,0,1
1549191409,0,1
1549197417,1,0
1549199334,0,1
1549201275,2,1
1549205603,0,1
1549213330,0,1
1549217092,1,0
1549230538,0,1
1549238197,1,1
1549240143,0,1
1549242132,0,1
1549251636,1,3
1549261280,1,0
1549265102,0,1
1549273144,0,1
1549280924,1,0
1549282847,1,0
1549284770,1,1
1549288900,1,1
1549290763,1,0
1549292688,1,0
1549294612,1,0
1549302510,1,0
1549304433,0,1
1549306377,1,0
1549308563,1,0
1549314546,1,0
1549324353,0,1
1549326280,1,0
1549328190,1,0
1549338073,0,1
1549341864,1,0
1549343789,1,0
1549349547,1,0
1549363023,0,1
1549366832,1,1
1549368792,1,2
1549370683,0,1
1549377686,0,1
1549379592,0,1
1549381475,1,1
1549389401,1,0
1549393299,0,1
1549395176,0,1
1549401065,0,1
1549409078,1,0
1549414921,1,1
1549416784,2,0
1549418693,2,0
1549428290,0,1
1549430207,0,1
1549435946,1,1
1549437889,1,0
1549444133,0,1
1549447957,1,0
1549453718,0,1
1549455654,1,1
1549461722,1,0
1549463572,1,0
1549465481,1,0
1549467647,1,1
1549475796,0,1
1549480137,1,0
1549482222,2,0
1549495707,1,1
1549497768,1,0
1549501727,0,1
1549503627,1,3
1549505562,1,1
1549507541,1,0
1549509417,1,0
1549513473,1,0
1549521185,0,1
1549524991,0,1
1549528832,2,0
1549532710,0,1
1549534591,1,1
1549542533,0,1
1549544548,1,0
1549546374,0,1
1549548317,1,0
1549550209,0,1
1549552150,0,1
1549554034,0,1
1549555968,1,0
1549557897,1,0
1549560077,1,0
1549561985,1,0
1549565809,1,1
1549569720,1,2
1549577344,1,0
1549579258,3,0
1549583095,1,2
1549585251,0,1
1549591330,0,2
1549595150,1,2
1549599159,0,1
1549608777,0,1
1549614774,0,2
1549620511,0,1
1549630369,0,1
1549632286,1,0
1549634192,0,1
1549636127,1,0
1549638113,1,0
1549641884,2,0
1549643793,0,2
1549645727,0,1
1549647633,1,1
1549653401,0,1
1549659154,1,0
1549661074,1,0
1549664916,0,3
1549666954,1,2
1549668760,3,0
1549670703,0,1
1549680269,0,1
1549684116,1,0
1549697580,1,0
1549699497,1,0
1549709075,1,0
1549710996,1,0
1549712918,1,0
1549714860,0,1
1549716767,2,0
1549718690,1,1
1549722787,2,1
1549724673,1,1
1549728584,0,2
1549730435,1,0
1549734271,0,1
1549740027,1,0
1549743872,1,0
1549745816,1,1
1549747707,0,1
1549752314,1,1
1549754237,0,2
1549756120,0,1
1549758042,2,0
1549759947,1,0
1549771735,0,1
1549783250,1,1
1549785186,0,1
1549796696,1,1
1549798860,1,2
1549800786,1,0
1549802678,1,2
1549804665,1,0
1549806540,0,1
1549808456,0,2
1549810358,1,0
1549812274,0,1
1549814207,5,0
1549816133,6,1
1549827665,1,1
1549831479,0,2
1549837249,0,1
1549844920,0,2
1549846923,0,1
1549850715,1,0
1549860771,1,0
1549862701,1,0
1549864587,1,0
1549866758,1,0
1549868694,0,1
1549878272,2,0
1549884227,2,1
1549888358,1,1
1549890287,0,2
1549896110,0,1
1549897998,1,0
1549899908,0,1
1549901797,1,10
1549909513,3,0
1549913574,0,1
1549917641,1,0
1549923412,1,0
1549929158,1,0
1549933025,3,0
1549936943,1,1
1549946696,0,1
1549948596,1,1
1549950776,0,1
1549952686,1,0
1549954738,0,1
1549962520,1,0
1549964487,0,2
1549970224,1,0
1549972138,3,2
1549974062,2,2
1549979824,6,0
1549981733,1,0
1549983772,0,2
1549986817,1,0
1549988920,1,1
1549996618,1,3
1549998557,2,0
1550000435,2,0
1550002357,1,0
1550004290,0,1
1550006201,1,0
1550008130,1,0
1550010027,1,1
1550015811,0,1
1550017708,0,1
1550019729,0,2
1550023499,0,1
1550035017,2,1
1550036917,1,0
1550038829,3,1
1550042684,1,0
1550046529,2,0
1550048523,0,1
1550050376,1,0
1550052310,1,1
1550054191,1,0
1550056369,0,1
1550058259,0,2
1550060213,0,3
1550065945,0,6
1550067910,0,1
1550075567,0,1
1550077519,1,0
1550083231,0,1
1550085164,1,2
1550087084,0,2
1550088997,1,1
1550090905,1,0
1550092821,0,1
1550094757,1,0
1550096669,0,1
1550100537,0,1
1550104367,1,0
1550108188,1,0
1550115888,1,0
1550119963,1,1
1550121879,1,1
1550123809,1,0
1550125703,1,3
1550129671,1,1
1550131506,0,1
1550133402,0,1
1550137222,0,1
1550141070,0,1
1550143005,1,0
1550160562,1,0
1550164362,1,1
1550166301,1,0
1550168183,1,0
1550172066,0,1
1550175871,1,1
1550177805,0,1
1550181693,0,1
1550184098,1,0
1550187872,2,0
1550189795,0,2
1550193624,2,1
1550197492,2,0
1550201342,0,1
1550205146,1,0
1550207110,0,2
1550210908,0,1
1550212848,0,1
1550214759,0,1
1550228181,0,1
1550230148,0,1
1550233957,1,0
1550239710,1,0
1550241651,1,0
1550245469,1,1
1550251277,0,1
1550253152,0,1
1550263016,1,1
1550264948,1,0
1550270665,0,1
1550274755,0,2
1550278578,0,1
1550280638,0,1
1550282522,2,2
1550284361,1,0
1550288206,0,1
1550292019,0,1
1550297806,2,0
1550303581,0,1
1550311294,1,0
1550313168,1,0
1550317486,1,0
1550319399,0,1
1550321320,1,0
1550325178,1,1
1550327064,0,1
1550328974,2,0
1550330939,0,1
1550332925,1,0
1550348430,0,1
1550350386,1,1
1550366211,2,0
1550368107,0,1
1550370058,1,2
1550385418,1,2
1550387336,1,0
1550389238,1,0
1550396913,0,1
1550398855,2,0
1550400753,2,1
1550404610,0,1
1550408512,0,1
1550410380,2,0
1550412298,1,0
1550416132,0,1
1550418030,0,1
1550419961,2,1
1550425895,1,0
1550437318,0,1
1550442992,1,0
1550451174,1,2
1550456909,0,1
1550458969,1,0
1550462710,0,1
1550468444,1,0
1550472295,2,0
1550474193,0,1
1550476117,0,1
1550481878,1,0
1550483812,0,1
1550485735,0,2
1550487756,1,2
1550497260,1,1
1550499164,0,2
1550504921,0,1
1550506732,0,1
1550512356,0,1
1550514293,1,0
1550522441,1,0
1550524351,1,0
1550526287,1,0
1550532038,1,0
1550533978,1,0
1550537807,0,2
1550545530,1,1
1550547403,1,0
1550555306,0,1
1550557251,0,2
1550574548,0,1
1550578376,2,0
1550584120,1,0
1550586043,1,0
1550587998,2,0
1550589880,1,0
1550595714,1,0
1550599603,1,0
1550601639,2,1
1550603576,1,0
1550605473,2,0
1550607394,2,0
1550609549,1,1
1550611468,1,2
1550615549,1,0
1550617507,0,1
1550619414,0,1
1550621326,0,1
1550623223,2,0
1550625151,1,0
1550630925,1,1
1550634763,0,1
1550638613,1,1
1550640537,2,0
1550648461,1,0
1550660207,1,0
1550662109,1,0
1550664111,1,2
1550669820,0,1
1550671993,0,1
1550673898,0,2
1550675802,0,1
1550677738,1,0
1550680144,1,0
1550682196,0,1
1550684223,2,0
1550686109,1,1
1550688040,0,2
1550691871,1,2
1550693829,0,3
1550695713,0,1
1550697635,3,0
1550699567,0,1
1550701491,0,1
1550705344,2,0
1550707374,2,0
1550709406,0,1
1550715386,1,1
1550717332,0,1
1550724984,0,1
1550727152,0,2
1550729112,1,0
1550731028,1,0
1550734857,0,1
1550736753,1,0
1550746586,0,1
1550750705,0,1
1550754752,1,0
1550758615,1,0
1550762661,1,0
1550764608,0,1
1550766497,0,1
1550770370,1,2
1550772291,1,1
1550776121,1,0
1550778052,0,1
1550781872,1,0
1550783824,0,1
1550785720,0,1
1550787649,1,0
1550792494,1,2
1550794374,0,3
1550796201,1,0
1550803951,0,1
1550815733,1,1
1550817629,0,1
1550821505,1,1
